f1,f2,value
"ES EBIMAP Manual de usuario.txt","ES EAS Manual de Usuario.txt",0.2442159116023531
"ES EBIMAP Manual de usuario.txt","ES EBIMAP Anexo Funciones EdiwinScript.txt",0.4256277121531066
"ES EBIMAP Manual de usuario.txt","ES EBIMAP Anexo Sintaxis JavaScript.txt",0.24723303028789512
"ES EBIMAP Manual de usuario.txt","ES EBIMAP Manual de usuario.txt",1.0000000000000002
"ES EBIMAP Manual de usuario.txt","ES EBIMON Manual Usuario.txt",0.3305355182288215
"ES EBIMAP Manual de usuario.txt","ES EDICOM TSA Manual de usuario.txt",0.13386077310511252
"ES EBIMAP Manual de usuario.txt","ES EDICOMDATA Manual de usuario.txt",0.2580398924944732
"ES EBIMAP Manual de usuario.txt","ES EDICOMNET Manual Usuario.txt",0.2050000695376489
"ES EBIMAP Manual de usuario.txt","ES EDICOMSuite Manual de usuario.txt",0.3661066407452153
"ES EBIMAP Manual de usuario.txt","ES EDIWIN ASP Manual de usuario.txt",0.34862311072402374
"ES EBIMAP Manual de usuario.txt","ES EDIWIN Manual Usuario.txt",0.460458984787647
"ES EBIMAP Manual de usuario.txt","ES EDIWIN Message Viewer Manual de usuario.txt",0.3360202305337264
"ES EBIMAP Manual de usuario.txt","ES EDIWIN Message viewer Manual de usuario_ayunt_VLC.txt",0.19860855374513253
"ES EBIMAP Manual de usuario.txt","ES EDIWIN Viewer Extendido Manual de usuario.txt",0.34135265031094336
"ES EBIMAP Manual de usuario.txt","ES EDIWINMONITOR Manual de usuario.txt",0.2567158845962338
"ES EBIMAP Manual de usuario.txt","ES EOS Manual de usuario.txt",0.27073266627860065
"ES EBIMAP Manual de usuario.txt","ES RAEDICOM Manual de Usuario.txt",0.4048659910124623
"ES EBIMAP Manual de usuario.txt","ES WebService Inditex Guia de usuario.txt",0.15813431278097356
"ES EBIMAP Manual de usuario.txt","ES_BMPAYROLLS_manual_de_usuario_publicador.txt",0.28445906721584097
"ES EBIMAP Manual de usuario.txt","ES_BMPHARMA_manual_de_usuario_destinatario.txt",0.29489937363233415
"ES EBIMAP Manual de usuario.txt","ES_BMPHARMA_manual_de_usuario_publicador.txt",0.27929749141393745
"ES EBIMAP Manual de usuario.txt","ES_MANUAL_EBI - Edicom Business Integrator.txt",0.292208186943892
"ES EBIMAP Manual de usuario.txt","ES_MANUAL_EBI_anexo_EbimanagerWeb.txt",0.3043126374531508
"ES EBIMAP Manual de usuario.txt","ES_MANUAL_EBI_anexo_integracion_ftp.txt",0.1326165769900477
"ES EBIMON Manual Usuario.txt","ES Business@Mail Payrolls - Manual de usuario.txt",0.2545957979240739
"ES EBIMON Manual Usuario.txt","ES CRP FLOW Manual de usuario.txt",0.35120814408906553
"ES EBIMON Manual Usuario.txt","ES DVD Manual de Usuario.txt",0.264530092765389
"ES EBIMON Manual Usuario.txt","ES EAS Manual de Usuario.txt",0.294256331697841
"ES EBIMON Manual Usuario.txt","ES EBIMAP Anexo Funciones EdiwinScript.txt",0.19311686239072895
"ES EBIMON Manual Usuario.txt","ES EBIMAP Anexo Sintaxis JavaScript.txt",0.17462962402891585
"ES EBIMON Manual Usuario.txt","ES EBIMAP Manual de usuario.txt",0.3305355182288215
